Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""chk 10 app""","label:""R 1.2""",R 1.2 - 10 Aspetos App - Botões com tamanho adequado para seleção por toque,OK,https://github.com/a11y-PT/report_137/issues/8
"label:""chk 10 app""","label:""R 7.3""",R 7.3 - 10 Aspetos App - Elementos interativos não estão acessíveis por teclado,NOK,https://github.com/a11y-PT/report_137/issues/7
"label:""chk 10 app""","label:""R 8.1""",R 8.1 - 10 Aspetos App - Alternativas em texto implementadas corretamente,OK,https://github.com/a11y-PT/report_137/issues/11
"label:""chk 10 app""","label:""R 9.1""",R 9.1 - 10 Aspetos App - O contraste dos links apresentados em texto está abaixo do recomendado,NOK,https://github.com/a11y-PT/report_137/issues/9
"label:""chk 10 app""","label:""R 10.1""",R 10.1 - 10 Aspetos App  - Idioma da aplicação corretamente identificado,OK,https://github.com/a11y-PT/report_137/issues/10
