Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""chk 10 app""","label:""R 1.2""",R 1.2 - 10 Aspetos App - Botões com tamanho insuficiente para perceção e seleção por toque,NOK,https://github.com/a11y-PT/report_143/issues/1
"label:""chk 10 app""","label:""R 7.3""",R 7.3 - 10 Aspetos App - Elementos não interativos estão recebendo foco pelo teclado,NOK,https://github.com/a11y-PT/report_143/issues/2
"label:""chk 10 app""","label:""R 7.3""",R 7.3 - 10 Aspetos App - Elementos interativos não estão acessíveis por teclado,NOK,https://github.com/a11y-PT/report_143/issues/6
"label:""chk 10 app""","label:""R 8.1""",R 8.1 - 10 Aspetos App - Alternativas em texto implementadas corretamente,OK,https://github.com/a11y-PT/report_143/issues/5
"label:""chk 10 app""","label:""R 9.1""",R 9.1 - 10 Aspetos App - O contraste apresentados está abaixo do recomendado,NOK,https://github.com/a11y-PT/report_143/issues/3
"label:""chk 10 app""","label:""R 10.1""",R 10.1 - 10 Aspetos App - Idioma da aplicação corretamente identificado,,https://github.com/a11y-PT/report_143/issues/7
