Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""chk 10 app""","label:""R 1.2""",R 1.2 - 10 Aspetos App - Botões e controlos com dimensão adequada,OK,https://github.com/a11y-PT/report_176/issues/3
"label:""chk 10 app""","label:""R 7.3""",R 7.3 - 10 Aspetos App - Elementos interativos não acessíveis pelo teclado e ordem de foco inconsistente,NOK,https://github.com/a11y-PT/report_176/issues/4
"label:""chk 10 app""","label:""R 8.1""",R 8.1 - 10 Aspetos - QR Code e logótipo da aplicação sem alternativa em texto acessível,NOK,https://github.com/a11y-PT/report_176/issues/1
"label:""chk 10 app""","label:""R 9.1""",R 9.1 - 10 Aspetos App - Textos com contraste abaixo do recomendado,NOK,https://github.com/a11y-PT/report_176/issues/2
