Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""chk 10 app""","label:""R 7.3""",R 7.3 - 10 Aspetos App - Elementos interativos não estão acessíveis por teclado,NOK,https://github.com/a11y-PT/report_182/issues/1
"label:""chk 10 app""","label:""R 10.1""",R 10.1 - 10 Aspetos App  - Idioma da aplicação corretamente identificado,OK,https://github.com/a11y-PT/report_182/issues/5
