Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""chk 10 app""","label:""R 1.2""",R 1.2 - 10 Aspetos App- Botões com tamanho adequado para seleção por toque,OK,https://github.com/a11y-PT/report_177/issues/7
"label:""chk 10 app""","label:""R 7.3""",R 7.3 - 10 Aspetos App - Elementos interativos não estão acessíveis por teclado,NOK,https://github.com/a11y-PT/report_177/issues/3
"label:""chk 10 app""","label:""R 8.1""",R 8.1 - 10 Aspetos App - QR Code do cartão de identificação sem alternativa em texto acessível,NOK,https://github.com/a11y-PT/report_177/issues/8
"label:""chk 10 app""","label:""R 9.1""",R 9.1 - 10 Aspetos App - O texto apresenta um contraste inferior ao recomendado.,NOK,https://github.com/a11y-PT/report_177/issues/6
"label:""chk 10 app""","label:""R 10.1""",R 10.1 - 10 Aspetos App - Idioma da aplicação corretamente identificado,OK,https://github.com/a11y-PT/report_177/issues/9
