Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""chk 10 app""","label:""R 1.2""",R 1.2 - 10 Aspetos App - Componentes com tamanho abaixo do recomendado,melhoria,https://github.com/a11y-PT/report_181/issues/4
"label:""chk 10 app""","label:""R 7.3""","R 7.3 - 10 Aspetos App (Estrutura e Navegação, toque e teclado)",NOK,https://github.com/a11y-PT/report_181/issues/3
"label:""chk 10 app""","label:""R 8.1""",R 8.1 - 10 Aspetos - QR Code e logótipo da aplicação sem alternativa em texto acessível,NOK,https://github.com/a11y-PT/report_181/issues/1
"label:""chk 10 app""","label:""R 9.1""",R 9.1 - 10 Aspetos App - Textos com contraste abaixo do recomendado,NOK,https://github.com/a11y-PT/report_181/issues/2
