Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""chk 10 app""","label:""R 7.3""",R 7.3 - 10 Aspetos App - Elementos interativos com problemas de navegação por teclado e foco confinado a áreas de conteúdo,NOK,https://github.com/a11y-PT/report_138/issues/1
"label:""chk 10 app""","label:""R 9.1""",R 9.1 - 10 Aspetos App - Textos com contraste abaixo do recomendado,NOK,https://github.com/a11y-PT/report_138/issues/2
