Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""chk 10 app""","label:""R 1.2""",R 1.2 - 10 Aspetos App - Botões e controlos suficientemente grandes para serem percecionados pela visão e selecionáveis pelo toque,OK,https://github.com/a11y-PT/report_141/issues/1
"label:""chk 10 app""","label:""R 7.3""","R 7.3 - 10 Aspetos App (Estrutura e Navegação, toque e teclado)",NOK,https://github.com/a11y-PT/report_141/issues/2
"label:""chk 10 app""","label:""R 8.1""","R 8.1 - 10 Aspetos App (Gráficos e Multimédia, alternativo em texto)",OK,https://github.com/a11y-PT/report_141/issues/3
"label:""chk 10 app""","label:""R 9.1""","R 9.1 - 10 Aspetos App - O texto normal apresenta-se com um rácio de contraste de, no mínimo, 4.5:1",OK,https://github.com/a11y-PT/report_141/issues/4
"label:""chk 10 app""","label:""R 10.1""","R 10.1 - 10 Aspetos App (Idioma, principal das páginas)",NOK,https://github.com/a11y-PT/report_141/issues/5
