Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""chk 10 app""","label:""R 1.2""",R 1.2 - 10 Aspetos App - Área de toque vertical abaixo do mínimo recomendado,melhoria,https://github.com/a11y-PT/report_139/issues/11
"label:""chk 10 app""","label:""R 7.3""",R 7.3 - 10 Aspetos App - Elementos não interativos estão recebendo foco pelo teclado,NOK,https://github.com/a11y-PT/report_139/issues/10
"label:""chk 10 app""","label:""R 8.1""",R 8.1 - 10 Aspetos - Alternativas em texto implementadas corretamente,OK,https://github.com/a11y-PT/report_139/issues/7
"label:""chk 10 app""","label:""R 9.1""",R 9.1 - 10 Aspetos App - Nenhum texto apresenta contraste inferior a 4.5 para 1,OK,https://github.com/a11y-PT/report_139/issues/9
"label:""chk 10 app""","label:""R 10.1""",R 10.1 - 10 Aspetos App - O idioma principal codificado na página da aplicação corresponde ao idioma escrito,OK,https://github.com/a11y-PT/report_139/issues/8
