Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""chk conteúdo""","label:""R 5.2""",R 5.2 - Conteúdo - Elementos interativos com área clicável inferior à dimensão mínima recomendada de 44px CSS,NOK,https://github.com/a11y-PT/report_122/issues/3
"label:""av auto""",,Avaliação Automática - Accessmonitor/Observatório (em avaliação),NOK,https://github.com/a11y-PT/report_122/issues/1
"label:""av auto""",,Avaliação Automática - Rocket Validator - Existem erros de Acessibilidade,NOK,https://github.com/a11y-PT/report_122/issues/2
