Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""chk conteúdo""","label:""R 5.2""",R 5.2 - Conteúdo - Os elementos interativos têm uma dimensão mínima de 44px CSS (44 pontos) (vertical e horizontal),OK,https://github.com/a11y-PT/report_115/issues/4
"label:""chk transação""","label:""R 3.2""",R 3.2 - Transação - Feedback após submissão não anunciado pelo leitor de ecrã,NOK,https://github.com/a11y-PT/report_115/issues/3
"label:""av auto""",,Avaliação Automática - Access Monitor / Observatório (em avaliação),NOK,https://github.com/a11y-PT/report_115/issues/1
"label:""av auto""",,Avaliação automática - Rocket Validator - Existem erros de acessibilidade,melhoria,https://github.com/a11y-PT/report_115/issues/2
