Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""chk transação""","label:""R 3.2""",R 3.2 - Transação - Feedback após submissão não anunciado pelo leitor de ecrã,melhoria,https://github.com/a11y-PT/report_133/issues/3
"label:""av auto""",,Avaliação Automática - Access Monitor / Observatório (em avaliação),NOK,https://github.com/a11y-PT/report_133/issues/1
"label:""av auto""",,Avaliação automática - Rocket Validator - Existem erros de acessibilidade,melhoria,https://github.com/a11y-PT/report_133/issues/2
