Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""chk 10 web""","label:""R 5.3""",R 5.3 - 10 Aspetos - Imagem link têm um equivalente alternativo incorreto,NOK,https://github.com/a11y-PT/report_110/issues/6
"label:""chk conteúdo""","label:""R 5.2""",R 5.2 - Conteúdo - Elementos interativos com área clicável inferior à dimensão mínima recomendada de 44px CSS,NOK,https://github.com/a11y-PT/report_110/issues/4
"label:""chk transação""","label:""R 3.2""",R 3.2 - Transação - Feedback após submissão não anunciado pelo leitor de ecrã,NOK,https://github.com/a11y-PT/report_110/issues/3
"label:""chk transação""","label:""R 4.3""",R 4.3 - Transação - Mensagens de erro não associadas aos respetivos campos,NOK,https://github.com/a11y-PT/report_110/issues/5
"label:""av auto""",,Avaliação Automática - Access Monitor / Observatório (em avaliação),NOK,https://github.com/a11y-PT/report_110/issues/1
"label:""av auto""",,Avaliação automática - Rocket Validator - Existem erros de acessibilidade,melhoria,https://github.com/a11y-PT/report_110/issues/2
