Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""chk transação""","label:""R 3.2""",R 3.2 - Transação - Feedback após submissão não anunciado pelo leitor de ecrã,NOK,https://github.com/a11y-PT/report_130/issues/2
"label:""av auto""",,Avaliação Automática - Accessmonitor/Observatório (em avaliação),NOK,https://github.com/a11y-PT/report_130/issues/1
