Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""av auto""",,Avaliação Automática - Accessmonitor/Observatório (em avaliação),NOK,https://github.com/a11y-PT/report_146/issues/1
"label:""av auto""",,Avaliação Automática - Rocket Validator - não se consegue avaliar,melhoria,https://github.com/a11y-PT/report_146/issues/2
