Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""av auto""",,Avaliação Automática - Accessmonitor/Observatório (em avaliação),NOK,https://github.com/a11y-PT/report_145/issues/1
"label:""av auto""",,Avaliação Automática - Rocket Validator - Existem erros de acessibilidade,melhoria,https://github.com/a11y-PT/report_145/issues/2
